user,execution_time,status
Ricardo Franco,0.8967604637145996,True
Ricardo Franco,1.0268921852111816,True
Ricardo Franco,1.1889522075653076,True
Ricardo Franco,0.9698605537414551,True
Ricardo Franco,1.1948199272155762,True
Ricardo Franco,0.9590086936950684,True
Ricardo Franco,0.9775335788726807,True
Ricardo Franco,1.070474624633789,True
Ricardo Franco,1.0378046035766602,True
Ricardo Franco,0.8927309513092041,True
Ricardo Franco,0.8741388320922852,True
Ricardo Franco,0.9239985942840576,True
Ricardo Franco,0.9947237968444824,True
